entA,entB
5684,80017
29979,55739
23190,29979
26578,6386
23157,5413
4735,5413
10767,53918
11235,8428
26060,63893
56648,6386
56648,60491
55156,56181
28970,55697
9217,9885
25930,5684
54828,80262
55233,55964
22931,8887
11311,64145
51571,60491
25813,54927
51699,55737
58473,5910
23157,55964
10801,23157
26060,55198
29979,813
55968,7415
23265,9146
23786,51090
51100,7165
51100,56904
11047,51377
498,506
3799,8887
6386,874
23564,55697
10152,9743
5515,55697
11332,816
11332,29979
11332,1410
10213,5713
2512,6386
3251,6386
6252,6386
10152,6386
54585,6386
55964,6386
55577,6386
22924,6386
6386,8618
8573,8825
7791,8825
4355,8825
10152,9146
2051,60491
2512,2512
226,230
29979,6184
2170,57698
3939,3945
163,293
1327,6386
6050,6386
1936,7178
4830,4830
5702,5706
5372,5870
22924,5689
5110,7965
29979,5479
1072,60
1072,71
1072,1073
6843,9342
1933,1937
5682,5684
22919,5682
22924,5682
51100,5682
5682,7415
2286,29979
527,5684
5684,5692
1936,1937
10105,10152
5701,5711
27316,3190
10486,71
10313,5780
114569,5780
2947,2949
5864,5877
29979,6782
6386,997
10152,7408
55198,5878
387,396
23647,9146
114569,23647
113146,11345
11345,23786
11345,55738
11345,79876
5684,5687
11135,998
1073,11034
11034,60
11034,71
3382,5862
11034,8887
10133,10890
55611,7323
5912,816
5700,5708
5706,6386
10617,2885
2885,3190
2885,60491
6844,9342
60,71
1073,71
23549,4354
3831,663
1962,71
1962,60
10152,5562
7965,9255
3735,7965
5062,998
29979,7335
1781,83658
10152,5300
10313,6642
57142,6642
1400,1809
1808,1809
2912,29979
3927,5684
3927,55964
23157,4735
5684,7536
10982,22919
22919,22924
5700,5711
1808,56896
55697,883
29979,441518
10486,60
3939,5602
29979,51144
10486,1073
1073,60
30011,5684
114569,203068
10016,311
10342,311
10152,56243
114569,6455
10152,3190
3190,9444
5684,80017
29979,55739
23190,29979
26578,6386
23157,5413
4735,5413
10767,53918
11235,8428
26060,63893
56648,6386
56648,60491
55156,56181
28970,55697
9217,9885
25930,5684
54828,80262
55233,55964
22931,8887
11311,64145
51571,60491
25813,54927
51699,55737
58473,5910
23157,55964
10801,23157
26060,55198
29979,813
55968,7415
23265,9146
23786,51090
51100,7165
51100,56904
11047,51377
498,506
3799,8887
6386,874
23564,55697
57698,57698
4282,4282
3796,3796
8574,8574
10768,10768
8522,8522
10016,10016
8575,8575
10313,10313
216,216
3251,3251
226,226
6285,6285
3945,3945
5213,5213
5860,5860
2098,2098
5834,5834
2539,2539
3615,3615
87,87
327,327
2670,2670
2752,2752
3958,3958
5702,5702
7414,7414
2781,2781
528,528
191,191
5684,5684
3612,3612
1936,1936
4144,4144
6470,6470
27316,27316
10486,10486
2949,2949
2937,2937
2010,2010
10247,10247
23647,23647
60,60
5631,5631
5706,5706
71,71
79026,79026
8514,8514
816,816
817,817
10540,10540
1400,1400
1974,1974
9961,9961
5050,5050
10982,10982
22919,22919
1808,1808
7360,7360
1073,1073
30011,30011
80318,80318
2947,2947
6455,6455
3190,3190
51181,51181
26086,26086
84959,84959
10342,10342
64853,64853
10133,10133
5413,5413
84245,84245
84056,84056
65991,65991
60491,60491
54585,54585
57142,57142
56474,56474
54438,54438
10152,10152
55964,55964
51466,51466
55577,55577
26060,26060
23549,23549
29979,29979
10458,10458
51100,51100
1410,1410
7415,7415
10313,57142
22895,5864
4738,9040
11034,71
26060,55198
2534,51517
51100,56904
2170,57698
10152,9743
10767,53918
11332,1410
11332,29979
10213,5713
2512,6386
3251,6386
